,Date,Text,Positive,Negative,Neutral,Compound
0,Tue Mar 13 05:03:04 +0000 2018,High school soccer coach accused of sexually assaulting students https://t.co/fgmAvJqZ73 https://t.co/4JywNJ41la,0.0,0.379,0.621,-0.6705
1,Tue Mar 13 04:48:03 +0000 2018,Iowa Senate leader Bill Dix resigns after video shows him kissing lobbyist https://t.co/EagZgaAXP3 https://t.co/IlhNxVUGlw,0.206,0.128,0.667,0.34
2,Tue Mar 13 04:33:04 +0000 2018,"Why this doctor recommends the ""Pegan"" diet https://t.co/JeVdwZubSf https://t.co/InzRfzoklN",0.192,0.0,0.808,0.2263
3,Tue Mar 13 04:18:07 +0000 2018,Authorities identify 5 victims killed in NYC helicopter crash https://t.co/uTTHH9L6UM https://t.co/H8Lm1RQkBs,0.0,0.576,0.424,-0.8591
4,Tue Mar 13 04:03:04 +0000 2018,Police probe killing of Binghamton University nursing student https://t.co/zOT4ugFsIc https://t.co/i4IbOcIHsc,0.0,0.328,0.672,-0.6597
5,Tue Mar 13 03:45:38 +0000 2018,Heather Locklear has been charged with several counts of battery against first responders who answered a domestic v… https://t.co/RuAmidrjhN,0.0,0.096,0.904,-0.2023
6,Tue Mar 13 03:24:54 +0000 2018,The special election for Pennsylvania's 18th district features Trump-backed candidate Rick Saccone and socially con… https://t.co/6tjCeM92Rk,0.153,0.0,0.847,0.4019
7,Tue Mar 13 03:00:01 +0000 2018,An apparent road rage incident ended with the bat-wielding suspect being fatally shot by police in New York's Long… https://t.co/r6dbUg4m95,0.0,0.37,0.63,-0.875
8,Tue Mar 13 02:41:01 +0000 2018,"The Metropolitan Opera said it fired music director emeritus James Levine after a three-month investigation found ""… https://t.co/dGCLVC5NzR",0.0,0.184,0.816,-0.5574
9,Tue Mar 13 02:20:01 +0000 2018,Grandson of cult leader Charles Manson won a California court battle over the killer's body. https://t.co/crV8wdfJ4J https://t.co/0JlZSXE9au,0.182,0.128,0.69,0.2732
10,Tue Mar 13 02:00:01 +0000 2018,President Trump is blocking Singapore-based chipmaker Broadcom from pursuing a hostile takeover of U.S. rival Qualc… https://t.co/sIZLI0AJM2,0.0,0.271,0.729,-0.6369
11,Tue Mar 13 01:40:32 +0000 2018,A photo of Amazon founder Jeff Bezos eating a roasted iguana over the weekend drew curiosity over the delicacy. https://t.co/h39OUCg3n8,0.091,0.0,0.909,0.1779
12,Tue Mar 13 01:20:01 +0000 2018,"In what appears to be a stunning and heartbreaking coincidence, another fertility clinic said Monday its equipment… https://t.co/aCZ0K4Noul",0.126,0.146,0.728,-0.1027
13,Tue Mar 13 01:00:01 +0000 2018,"Asked if Stormy Daniels may possess photos, texts or videos relating to her alleged relationship with the president… https://t.co/4odb1Lk6hR",0.0,0.0,1.0,0.0
14,Tue Mar 13 00:40:01 +0000 2018,"On Twitter, Education Sec. Betsy DeVos pushes back against criticism over her @60Minutes interview… https://t.co/l6hgmLEDlu",0.0,0.172,0.828,-0.4404
15,Tue Mar 13 00:08:00 +0000 2018,"@CBSNews Schiff: ""On a whole host of investigative threads, our work is fundamentally incomplete, some issues parti… https://t.co/NqcbHsTPyy",0.0,0.0,1.0,0.0
16,Tue Mar 13 00:05:54 +0000 2018,"In a blistering statement, Rep. Adam Schiff of California, the top Democrat on the House Intelligence Committee, ca… https://t.co/0F6L9Yikm2",0.234,0.0,0.766,0.5994
17,Tue Mar 13 00:00:02 +0000 2018,"For second and third time this month, packages containing bombs left on porches of homes in Austin, Texas, killing… https://t.co/cfF9rC6NLc",0.0,0.0,1.0,0.0
18,Mon Mar 12 23:40:01 +0000 2018,Federal investigators are trying to zero in on what caused a tourist helicopter to fall from the sky over New York'… https://t.co/3LGykTfBBl,0.0,0.0,1.0,0.0
19,Mon Mar 12 23:23:32 +0000 2018,"British Prime Minister Theresa May threatens ""extensive"" retaliation against Russia, saying it's ""highly likely"" th… https://t.co/THZuOqlJwA",0.0,0.148,0.852,-0.3818
20,Tue Mar 13 05:03:04 +0000 2018,High school soccer coach accused of sexually assaulting students https://t.co/fgmAvJqZ73 https://t.co/4JywNJ41la,0.0,0.379,0.621,-0.6705
21,Tue Mar 13 04:48:03 +0000 2018,Iowa Senate leader Bill Dix resigns after video shows him kissing lobbyist https://t.co/EagZgaAXP3 https://t.co/IlhNxVUGlw,0.206,0.128,0.667,0.34
22,Tue Mar 13 04:33:04 +0000 2018,"Why this doctor recommends the ""Pegan"" diet https://t.co/JeVdwZubSf https://t.co/InzRfzoklN",0.192,0.0,0.808,0.2263
23,Tue Mar 13 04:18:07 +0000 2018,Authorities identify 5 victims killed in NYC helicopter crash https://t.co/uTTHH9L6UM https://t.co/H8Lm1RQkBs,0.0,0.576,0.424,-0.8591
24,Tue Mar 13 04:03:04 +0000 2018,Police probe killing of Binghamton University nursing student https://t.co/zOT4ugFsIc https://t.co/i4IbOcIHsc,0.0,0.328,0.672,-0.6597
25,Tue Mar 13 03:45:38 +0000 2018,Heather Locklear has been charged with several counts of battery against first responders who answered a domestic v… https://t.co/RuAmidrjhN,0.0,0.096,0.904,-0.2023
26,Tue Mar 13 03:24:54 +0000 2018,The special election for Pennsylvania's 18th district features Trump-backed candidate Rick Saccone and socially con… https://t.co/6tjCeM92Rk,0.153,0.0,0.847,0.4019
27,Tue Mar 13 03:00:01 +0000 2018,An apparent road rage incident ended with the bat-wielding suspect being fatally shot by police in New York's Long… https://t.co/r6dbUg4m95,0.0,0.37,0.63,-0.875
28,Tue Mar 13 02:41:01 +0000 2018,"The Metropolitan Opera said it fired music director emeritus James Levine after a three-month investigation found ""… https://t.co/dGCLVC5NzR",0.0,0.184,0.816,-0.5574
29,Tue Mar 13 02:20:01 +0000 2018,Grandson of cult leader Charles Manson won a California court battle over the killer's body. https://t.co/crV8wdfJ4J https://t.co/0JlZSXE9au,0.182,0.128,0.69,0.2732
30,Tue Mar 13 02:00:01 +0000 2018,President Trump is blocking Singapore-based chipmaker Broadcom from pursuing a hostile takeover of U.S. rival Qualc… https://t.co/sIZLI0AJM2,0.0,0.271,0.729,-0.6369
31,Tue Mar 13 01:40:32 +0000 2018,A photo of Amazon founder Jeff Bezos eating a roasted iguana over the weekend drew curiosity over the delicacy. https://t.co/h39OUCg3n8,0.091,0.0,0.909,0.1779
32,Tue Mar 13 01:20:01 +0000 2018,"In what appears to be a stunning and heartbreaking coincidence, another fertility clinic said Monday its equipment… https://t.co/aCZ0K4Noul",0.126,0.146,0.728,-0.1027
33,Tue Mar 13 01:00:01 +0000 2018,"Asked if Stormy Daniels may possess photos, texts or videos relating to her alleged relationship with the president… https://t.co/4odb1Lk6hR",0.0,0.0,1.0,0.0
34,Tue Mar 13 00:40:01 +0000 2018,"On Twitter, Education Sec. Betsy DeVos pushes back against criticism over her @60Minutes interview… https://t.co/l6hgmLEDlu",0.0,0.172,0.828,-0.4404
35,Tue Mar 13 00:08:00 +0000 2018,"@CBSNews Schiff: ""On a whole host of investigative threads, our work is fundamentally incomplete, some issues parti… https://t.co/NqcbHsTPyy",0.0,0.0,1.0,0.0
36,Tue Mar 13 00:05:54 +0000 2018,"In a blistering statement, Rep. Adam Schiff of California, the top Democrat on the House Intelligence Committee, ca… https://t.co/0F6L9Yikm2",0.234,0.0,0.766,0.5994
37,Tue Mar 13 00:00:02 +0000 2018,"For second and third time this month, packages containing bombs left on porches of homes in Austin, Texas, killing… https://t.co/cfF9rC6NLc",0.0,0.0,1.0,0.0
38,Mon Mar 12 23:40:01 +0000 2018,Federal investigators are trying to zero in on what caused a tourist helicopter to fall from the sky over New York'… https://t.co/3LGykTfBBl,0.0,0.0,1.0,0.0
39,Mon Mar 12 23:23:32 +0000 2018,"British Prime Minister Theresa May threatens ""extensive"" retaliation against Russia, saying it's ""highly likely"" th… https://t.co/THZuOqlJwA",0.0,0.148,0.852,-0.3818
40,Mon Mar 12 22:59:15 +0000 2018,"A server at a Houston-area diner has received an unexpected $16,000 college scholarship after details of her act of… https://t.co/UTYG0dSzPC",0.0,0.0,1.0,0.0
41,Mon Mar 12 22:53:01 +0000 2018,Education secretary Betsy DeVos responded today to a much-discussed @60Minutes interview last night. DeVos sat down… https://t.co/PtdXMdwGo7,0.0,0.0,1.0,0.0
42,Mon Mar 12 22:49:09 +0000 2018,The adult film actress who claims she had an affair with President Trump wants to make a deal. Stormy Daniels is of… https://t.co/JgYdYUlotQ,0.0,0.0,1.0,0.0
43,Mon Mar 12 22:46:00 +0000 2018,"British PM Theresa May threatened ""extensive retaliation"" against Russia after saying it's highly likely that Russi… https://t.co/aZxARqHQxM",0.0,0.158,0.842,-0.4588
44,Mon Mar 12 22:43:34 +0000 2018,Federal investigators are trying to zero in on what caused a tourist helicopter to fall to New York's East River. F… https://t.co/vqXyi9miIa,0.0,0.0,1.0,0.0
45,Mon Mar 12 22:41:01 +0000 2018,The East Coast is about to get hit with the third major winter storm in 11 days. @CBSNewYork's @LonnieQuinnTV has t… https://t.co/CRGwlRMLpB,0.0,0.0,1.0,0.0
46,Mon Mar 12 22:37:58 +0000 2018,Three package bombings this month have left two people dead and two others wounded in Texas. The latest explosions… https://t.co/fxs0DWthDI,0.0,0.185,0.815,-0.6486
47,Mon Mar 12 22:34:27 +0000 2018,"CBS NEWS POLL: The idea of building a border wall continues to be unpopular with most Americans, and sharp partisan… https://t.co/f3joNe5yEb",0.0,0.0,1.0,0.0
